#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-53.788082,50,454.562202
-56.553738,50,455.51879
-54.176627,50,456.517413
-52.030519,50,457.524083
-51.719606,50,458.547109
-53.457197,50,459.51684
-55.189065,50,460.501083
-54.775605,50,461.475968
-52.244581,50,462.467355
-51.589476,50,463.40685
-53.602489,50,464.407248
-56.762407,50,465.399662
-55.792278,50,466.374352
-53.641431,50,467.378913
-52.7595,50,468.353263
-51.859465,50,469.799478
-53.979017,50,470.79637
-57.185368,50,471.79496
-53.267076,50,472.78564
-53.585022,50,473.717407
-55.691622,50,474.710383
-51.833634,50,475.671373
-55.356417,50,476.696346
-53.505521,50,477.702099
-55.146589,50,478.718486
-54.393945,50,479.830618
-55.938408,50,480.818414
-51.985654,50,481.815655
-53.138562,50,482.824801
-53.450167,50,483.800577
-56.065851,50,484.797688
-52.856009,50,485.785694
-55.145901,50,486.826881
-53.760088,50,487.781903
-51.667627,50,488.82103
-54.165879,50,489.819412
-54.224046,50,490.789951
-53.32527,50,491.797029
-55.514529,50,492.768667
-55.331414,50,493.75994
-55.350736,50,494.725982
-51.360811,50,495.70447
-53.648736,50,496.695924
-56.083337,50,497.679078
-51.313064,50,498.698123
-51.801971,50,499.879472
-57.794945,50,500.860222
-54.301054,50,501.835595
-56.097234,50,502.827801
-58.450873,50,503.806579
-52.121503,50,504.779762
-56.384964,50,505.740022
-55.67118,50,506.707774
-55.833167,50,507.720934
-55.383783,50,508.745169
-53.96357,50,509.718253
-52.795254,50,510.698268
-54.506106,50,511.66081
-53.412375,50,512.61523
-53.533159,50,513.595064
-53.757044,50,514.571659
-59.606346,50,515.565732
-56.783726,50,516.556767
-52.928078,50,517.532547
-56.290445,50,518.525728
-55.115731,50,519.469472
-53.133518,50,520.846026
-54.014042,50,521.867007
-55.505413,50,522.850392
-56.493376,50,523.839597
-58.102798,50,524.818361
-52.12624,50,525.774028
-50.2246,48,526.770275
-54.238886,50,527.706424
-51.871351,50,528.687176
-52.068554,50,529.672212
-54.132898,50,530.684106
-57.181911,50,531.679498
-55.27126,50,532.646623
-47.256465,45,533.603614
-18.667249,19,534.448582
-53.547166,50,534.852015
-41.051808,38,535.890944
-55.108357,50,536.841226
-53.966775,50,538.202253
-52.608558,50,539.514852
-51.133278,50,540.583187
-53.075892,50,541.74067
-51.790094,50,542.79837
-55.411789,50,543.832273
-56.016298,50,544.86087
-52.261561,50,546.431531
-80.647535,50,547.619608
-56.758324,50,548.812376
-57.934111,50,549.864313
-54.531614,50,550.965865
-53.526214,50,552.019326
-54.793817,50,553.053255
-55.749798,50,554.183141
-56.092372,50,555.169694
-52.805944,50,556.203461
-64.282807,50,557.259711
-54.791413,50,558.394129
-28.407298,28,559.345004
-54.321648,50,559.91997
-53.355721,50,560.915267
-53.43289,50,561.914419
-57.799635,50,562.840478
-57.724641,50,563.799967
-56.595843,50,564.750631
-57.661252,50,565.729302
-55.735175,50,566.69118
-39.351622,36,567.611484
-53.988099,50,568.318559
-56.193895,50,569.283105
-56.414492,50,570.224277
-56.68758,50,571.240407
-56.873037,50,572.154438
-51.598959,50,573.090625
-57.078134,50,574.043477
-58.205035,50,575.048631
-53.933563,50,576.024884
-55.197637,50,576.947894
-57.456545,50,577.897508
-41.867071,40,578.833203
-55.495264,50,579.647723
-58.608169,50,580.619518
-55.621921,50,581.639817
-53.885778,50,582.588027
-56.171828,50,583.53023
-54.214036,50,584.484171
-54.899036,50,585.756995
-52.151559,50,586.885319
-59.402494,50,587.936574
-54.387907,50,588.992617
-56.711494,50,590.160975
-26.811921,26,591.19818
-54.600742,50,591.780933
-50.857005,50,592.842529
-55.566686,50,593.830583
-54.999257,50,594.950363
-52.806277,50,596.091355
-52.894314,50,597.18627
-53.660479,50,598.250396
-53.426573,50,599.38241
-54.535766,50,600.536536
-54.6378,50,601.657373
-53.723141,50,602.699989
-55.815275,50,603.922924
-56.397083,50,605.28346
-54.784226,50,606.883427
-54.617393,50,607.819729
-51.705952,50,608.94074
-55.782442,50,610.055179
-58.376229,50,611.055412
-55.243191,50,612.259915
-55.0234,50,613.475578
-54.246787,50,614.533053
-59.181374,50,615.605608
-60.812406,50,616.796947
-52.35827,50,617.983124
-55.299026,50,619.012344
-51.400381,50,620.166607
-58.512179,50,621.197388
-53.740036,50,622.253303
-53.357905,50,623.330855
-54.47806,50,624.364097
-55.180484,50,625.370547
-56.685828,50,626.3631
-52.118095,50,627.452276
-53.581545,50,628.770142
-54.800269,50,629.912869
-46.228557,44,630.959467
-52.609533,50,631.905419
-51.815604,50,633.051836
-33.529982,33,634.062804
-55.481295,50,634.760021
-54.761355,50,635.794724
-52.821502,50,636.821021
-55.54738,50,637.888708
-23.937446,24,638.994586
-53.057715,50,639.478231
-52.760758,50,640.580586
-54.210586,50,641.677315
-52.648929,50,642.765938
-56.950264,50,643.887157
-54.553633,50,644.894454
-51.553518,49,645.889601
-58.631106,50,646.931017
-54.844576,50,648.012483
-53.091128,50,649.049064
-31.589506,31,650.038682
-51.526566,50,650.790236
-53.816236,50,651.885836
-34.629874,34,652.986664
-43.183624,40,654.050636
-55.845629,50,654.895676
-38.006737,37,656.064458
-26.083812,26,656.928953
-55.15959,50,657.551562
-53.378599,50,659.053232
-55.819129,50,660.188964
-55.852293,50,661.213623
-18.460824,18,662.370329
-54.968755,50,662.808465
-56.579109,50,663.880947
-53.161227,50,664.858079
-56.135157,50,665.848289
-52.818589,50,666.867317
-53.392351,50,668.020311
-55.417984,50,669.062175
-52.702582,50,670.226375
-56.395713,50,671.283094
-46.042027,43,672.762999
-53.387694,50,673.706576
-24.248241,24,674.77306
-52.129116,50,675.293975
-53.515604,50,676.363954
-58.596604,50,677.391783
-55.846417,50,678.379956
-53.628934,50,679.387883
-59.230278,50,680.381397
-54.827937,50,681.361894
-53.233553,50,682.316718
-56.84838,50,683.287627
-56.402723,50,684.373477
-54.901556,50,685.48285
-54.59519,50,686.539183
-58.117408,50,687.836265
-52.023333,50,689.095961
-55.840702,50,690.087048
-54.633625,50,691.111749
-58.579951,50,692.266934
-56.264409,50,693.284932
-53.359187,50,694.212057
-52.690817,50,695.145997
-55.061919,50,696.252883
-55.033735,50,697.378466
-54.681785,50,698.319794
-34.180656,33,699.246261
-55.421897,50,699.941916
-59.661822,50,700.963966
-28.491637,27,701.977565
-50.608116,47,702.527236
-56.458637,50,703.545294
-53.637032,50,704.550653
-57.980565,50,705.973431
-54.716037,50,706.961104
-52.361529,50,707.899081
-53.480113,50,708.844668
-54.816725,50,709.810011
-51.813534,50,710.757142
-54.662955,50,711.719092
-52.11952,50,712.663166
-21.75061,22,713.579155
-46.59365,44,714.01013
-57.065589,50,714.873672
-37.372538,35,715.794261
-52.336677,50,716.497398
-52.268352,50,717.656374
-55.076071,50,718.902859
-30.10883,30,719.854986
-53.850199,50,720.420158
-23.201522,23,721.347281
-53.321332,50,721.804494
-50.90936,46,722.819699
-15.795509,16,723.684266
-27.621183,26,724.017955
-54.85273,50,724.550276
-66.28131,30,725.492555
-48.273584,44,726.078956
-46.032049,41,726.988082
-41.631903,38,727.809045
-71.921077,50,728.582805
-44.157441,41,729.593927
-53.80971,50,730.419599
-40.507829,37,731.368351
-57.062298,50,732.06463
-54.839364,50,733.012655
-37.862758,36,734.01194
-54.709615,50,734.715656
-54.711036,50,735.681262
-50.807038,47,736.679833
-32.938423,31,737.615054
-56.669695,50,738.215397
-46.813829,42,739.189671
-53.736489,49,740.073749
-44.088415,40,741.245423
-55.423923,50,742.055179
-29.224364,27,743.008213
-56.377243,50,743.562899
-9.214477,10,744.668251
-50.190394,46,744.972574
-56.754153,50,745.87906
-24.383929,23,746.795276
-54.514857,50,747.257413
-18.461384,18,748.208141
-17.185644,17,748.571596
-8.265168,9,748.902414
-30.216951,28,749.106974
-30.690871,28,749.710588
-30.213568,28,750.270686
-40.632108,37,750.833402
-56.190333,50,751.564399
-56.955413,50,752.511687
-48.406207,44,753.419013
-36.510793,34,754.197916
-39.248469,35,754.838186
-56.731191,50,755.53813
-29.845881,28,756.430949
-57.974949,50,756.998084
-18.966144,19,757.993304
-35.045543,32,758.408935
-41.688957,38,759.021206
-35.111439,32,759.73162
-43.569588,41,760.289753
-35.284108,32,761.064855
-49.935727,45,761.655069
-39.285678,36,762.499912
-63.760468,50,763.224091
-56.769516,50,764.208199
-29.337066,27,765.168058
-28.89423,27,765.66805
-58.907651,50,766.214423
-57.788758,50,767.154088
-56.171288,50,768.15632
-58.732603,50,769.13588
-54.940603,50,770.086781
-45.558574,43,771.09718
-13.93824,14,772.014661
-54.955899,50,772.40292
-19.360822,19,773.383374
-59.207684,50,773.763182
-39.509368,36,774.770031
-53.740111,50,775.499026
-43.648999,40,776.590897
-20.869347,20,777.340222
-56.120186,50,777.788186
-14.743361,15,778.906051
-52.595869,47,779.335451
-57.880216,50,780.310739
-38.564863,35,781.301239
-39.141213,36,782.015759
-36.012244,33,782.718421
-61.205712,50,783.429423
-39.131916,35,784.365776
-63.55414,50,785.05274
-38.682798,35,786.004352
-48.231625,43,786.677689
-56.224848,50,787.487744
-4.09949,5,788.426536
-57.962098,50,788.570309
-59.00657,50,789.633952
-29.212261,28,790.658887
-56.200207,50,791.165349
-56.915654,50,792.137825
-38.739705,35,793.090298
-22.30978,22,793.768303
-35.423271,32,794.19054
-37.158786,34,794.775738
-58.271692,50,795.435045
-56.677415,50,796.345399
-17.444126,17,797.262653
-26.069473,25,797.590339
-41.384433,37,798.08132
-60.668035,50,798.789946
-36.006868,33,799.722592
-44.602587,42,800.425128
-47.151181,44,801.286883
-44.102425,40,802.238546
-20.933473,21,803.762709
-49.935016,44,804.371806
-13.562189,14,805.516852
-26.809339,25,805.96512
-45.519817,42,807.096722
-34.532191,32,808.165576
-35.731699,32,808.930136
-58.529859,50,809.706052
-57.834449,50,810.950341
-51.836731,46,812.056943
-56.452879,50,813.09448
